num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
110,侧耳倾听,近藤喜文,"['本名阳子', '小林桂树', '高山南', '高桥一生']",日本,日语 / 英语,8.8,234197,1995-07-15(日本),111分钟,"['剧情', '爱情', '动画']",少女情怀总是诗。
111,红辣椒,今敏,"['林原惠美', '江守彻', '堀胜之祐', '古谷彻']",日本,日语,8.9,192332,2006-09-02(威尼斯电影节),90 分钟,"['科幻', '动画', '悬疑', '惊悚']",梦的勾结。
112,请以你的名字呼唤我,卢卡·瓜达尼诺,"['艾米·汉莫', '蒂莫西·柴勒梅德', '迈克尔·斯图巴', '阿蜜拉·卡萨']",意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国,英语 / 意大利语 / 法语 / 德语 / 希伯来语,8.8,291347,2017-01-22(圣丹斯电影节),132分钟,"['剧情', '爱情', '同性']",沉醉在电影的情感和视听氛围中无法自拔。
113,倩女幽魂,程小东,"['张国荣', '王祖贤', '午马', '刘兆铭']",香港,粤语,8.7,368091,2011-04-30(中国大陆),98分钟(香港),"['爱情', '奇幻', '武侠', '古装']",两张绝世的脸。 
114,恐怖直播,金秉祐,"['河正宇', '李璟荣', '全慧珍', '李大为']",韩国,韩语,8.7,323029,2013-07-31(韩国),97分钟,"['剧情', '悬疑', '犯罪']",恐怖分子的“秋菊打官司”。
115,风之谷,宫崎骏,"['岛本须美', '松田洋治', '榊原良子', '辻村真人']",日本,日语,8.8,231164,1992-05(中国大陆),117分钟,"['动画', '奇幻', '冒险']",动画片的圣经。
116,上帝之城,卡迪亚·兰德,"['亚历桑德雷·罗德里格斯', '莱安德鲁·菲尔米诺', '菲利佩·哈根森', '道格拉斯·席尔瓦']",巴西 / 法国,葡萄牙语,8.9,191289,2002-05-18(戛纳电影节),130分钟,"['剧情', '犯罪']",被上帝抛弃了的上帝之城。
117,超脱,托尼·凯耶,"['艾德里安·布洛迪', '马西娅·盖伊·哈登', '詹姆斯·肯恩', '克里斯蒂娜·亨德里克斯']",美国,英语,8.8,237384,2011-04-25(翠贝卡电影节),97分钟,['剧情'],穷尽一生，我们要学会的，不过是彼此拥抱。
118,爱在日落黄昏时,理查德·林克莱特,"['伊桑·霍克', '朱莉·德尔佩', '弗农·多布切夫', 'Louise Lemoine Torrès']",美国,英语 / 法语,8.8,262297,2004-02-10(柏林电影节),80 分钟,"['剧情', '爱情']",九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
119,菊次郎的夏天,北野武,"['北野武', '关口雄介', '岸本加世子', 'グレート義太夫']",日本,日语,8.8,257249,1999-05-20(戛纳电影节),121 分钟,"['剧情', '喜剧']",从没见过那么流氓的温柔，从没见过那么温柔的流氓。
120,幸福终点站,史蒂文·斯皮尔伯格,"['汤姆·汉克斯', '凯瑟琳·泽塔-琼斯', '斯坦利·图齐', '齐·麦克布赖德']",美国,英语 / 俄语 / 法语 / 保加利亚语,8.7,291200,2005-01-14(中国大陆),128分钟,"['剧情', '喜剧', '爱情']",有时候幸福需要等一等。 
121,哈利·波特与死亡圣器(下),大卫·叶茨,"['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '海伦娜·伯翰·卡特']",美国 / 英国,英语,8.7,379110,2011-08-04(中国大陆),130分钟,"['剧情', '悬疑', '奇幻', '冒险']",10年的完美句点。
122,小森林 冬春篇,森淳一,"['桥本爱', '三浦贵大', '松冈茉优', '温水洋一']",日本,日语,9.0,177643,2015-02-14(日本),120分钟,['剧情'],尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
123,杀人回忆,奉俊昊,"['宋康昊', '金相庆', '金雷河', '宋在浩']",韩国,韩语,8.7,281738,2003-05-02(韩国),130分钟,"['剧情', '悬疑', '惊悚', '犯罪']",关于连环杀人悬案的集体回忆。
